		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/6 17:12:8		-4.43	-4.47	2.51	203.00	81.00	27.00	5264	5348
200/1/6 17:12:12	-4.39	-4.47	2.47	202.00	81.00	30.00	5284	5332
200/1/6 17:12:17	-4.39	-4.47	2.55	202.00	81.00	30.00	5268	5340
200/1/6 17:12:22	-4.35	-4.51	2.47	202.00	81.00	30.00	5280	5332
200/1/6 17:12:26	-4.35	-4.55	2.51	202.00	81.00	30.00	5292	5340
200/1/6 17:12:31	-4.43	-4.55	2.55	202.00	81.00	30.00	5280	5332
200/1/6 17:12:35	-4.35	-4.55	2.59	202.00	81.00	30.00	5284	5332
200/1/6 17:12:40	-4.43	-4.51	2.55	202.00	81.00	30.00	5280	5352
200/1/6 17:12:44	-4.35	-4.55	2.51	202.00	81.00	30.00	5280	5336
200/1/6 17:12:49	-4.39	-4.51	2.59	202.00	81.00	30.00	5284	5336
200/1/6 17:12:54	-4.35	-4.51	2.63	202.00	81.00	30.00	5276	9260
200/1/6 17:12:58	-4.35	-4.43	2.47	202.00	81.00	30.00	5276	5344
200/1/6 17:13:3		-4.35	-4.51	2.63	203.00	81.00	30.00	5264	5340
200/1/6 17:13:7		-4.39	-4.55	2.59	202.00	81.00	30.00	5288	5328
200/1/6 17:13:12	-4.31	-4.51	2.51	202.00	81.00	30.00	5284	5336
200/1/6 17:13:16	-4.43	-4.55	2.51	203.00	81.00	30.00	5284	5320
200/1/6 17:13:21	-4.35	-4.51	2.51	203.00	81.00	30.00	5280	5332
200/1/6 17:13:26	-4.35	-4.43	2.47	203.00	81.00	30.00	5280	5348
200/1/6 17:13:30	-4.39	-4.51	2.59	203.00	81.00	30.00	5268	5336
200/1/6 17:13:35	-4.31	-4.51	2.47	203.00	81.00	30.00	5284	5332
200/1/6 17:13:39	-4.43	-4.51	2.55	203.00	81.00	30.00	5264	5340
200/1/6 17:13:44	-4.35	-4.51	2.47	203.00	81.00	30.00	5276	5332
200/1/6 17:13:48	-4.39	-4.47	2.63	204.00	81.00	30.00	5260	5340
200/1/6 17:13:53	-4.43	-4.55	2.59	204.00	81.00	30.00	5284	5328
200/1/6 17:13:57	-4.35	-4.47	2.59	205.00	81.00	30.00	5264	5352
200/1/6 17:14:2		-4.28	-4.47	2.51	204.00	81.00	30.00	5268	5340
200/1/6 17:14:7		-4.39	-4.55	2.59	205.00	81.00	30.00	5288	5336
200/1/6 17:14:11	-4.39	-4.43	2.47	205.00	81.00	30.00	5288	5340
200/1/6 17:14:16	-4.43	-4.55	2.51	207.00	81.00	30.00	5284	5328
200/1/6 17:14:20	-4.35	-4.55	2.55	208.00	81.00	30.00	5268	5340
200/1/6 17:14:25	-4.43	-4.51	2.55	207.00	81.00	30.00	5292	5336
200/1/6 17:14:29	-4.39	-4.51	2.55	208.00	81.00	30.00	5280	5344
200/1/6 17:14:34	-4.39	-4.51	2.51	209.00	81.00	30.00	5276	5336
200/1/6 17:14:39	-4.35	-4.47	2.47	213.00	81.00	30.00	5280	5348
200/1/6 17:14:43	-4.28	-4.55	2.59	213.00	81.00	30.00	5288	5332
200/1/6 17:14:48	-5.22	-4.43	-4.51	215.00	81.00	30.00	5288	5336
200/1/6 17:14:52	-1.49	-4.71	3.57	216.00	81.00	30.00	7228	5344
200/1/6 17:14:57	-4.67	-5.33	2.47	216.00	81.00	30.00	5260	7296
200/1/6 17:15:1		-4.55	-4.47	2.79	216.00	81.00	30.00	5292	5320
200/1/6 17:15:6		-4.39	-4.51	2.63	215.00	81.00	30.00	5280	5336
200/1/6 17:15:11	-4.35	-4.47	2.43	215.00	81.00	30.00	5280	5328
200/1/6 17:15:15	-4.43	-4.51	2.55	216.00	81.00	30.00	5288	5352
200/1/6 17:15:20	-4.39	-4.47	2.55	216.00	81.00	30.00	9204	5340
